waveform_index,scheduled_s,completed_s,late_s,points_returned,points_saved
279,73945.833589653,74020.583511706,74.52118595999491,10000,2500
280,73945.83368965301,74020.83544163,74.74983513799089,10000,2500
281,73945.833789653,74021.090966649,75.0016652320046,10000,2500
282,73945.833889653,74021.365425199,75.25708404199395,10000,2500
283,73945.83398965301,74021.660750517,75.53144154699112,10000,2500
284,73945.834089653,74021.973845154,75.82666665299621,10000,2500
285,73945.834189653,74022.208694156,76.1396677790035,10000,2500
286,73945.83428965301,74022.499290102,76.37441676099843,10000,2500
287,73945.834389653,74022.728742927,76.66490589499881,10000,2500
288,73945.834489653,74022.984129762,76.8942665969953,10000,2500
289,73945.83458965301,74023.554216798,77.1495473269897,10000,2500
290,73945.834689653,74023.800896312,77.71953370800475,10000,2500
291,73945.834789653,74024.174547638,77.96611971499806,10000,2500
292,73945.83488965301,74024.446728694,78.33967155899154,10000,2500
293,73945.834989653,74024.698157295,78.61174966000544,10000,2500
294,73945.835089653,74025.044093713,78.8630797270016,10000,2500
295,73945.83518965301,74025.417594706,79.20891010199557,10000,2500
296,73945.835289653,74025.665113704,79.58232103500632,10000,2500
297,73945.835389653,74025.929686587,79.8297369209904,10000,2500
298,73945.835489653,74026.187475734,80.0942026089906,10000,2500
299,73945.835589653,74026.427925239,80.35189179900044,10000,2500
300,73945.835689653,74026.652130819,80.59227323699452,10000,2500
301,73945.835789653,74026.961284222,80.81634768699587,10000,2500
302,73945.835889653,74027.21585466,81.1254001740017,10000,2500
303,73945.835989653,74027.440717462,81.37987062700267,10000,2500
304,73945.836089653,74027.691555818,81.60463445699133,10000,2500
305,73945.836189653,74027.91951056,81.85538110900961,10000,2500
306,73945.836289653,74028.322421548,82.0832367559924,10000,2500
307,73945.836389653,74028.728430703,82.48603790999914,10000,2500
308,73945.836489653,74029.002078831,82.89195485301025,10000,2500
309,73945.836589653,74029.222424414,83.16549544699956,10000,2500
310,73945.836689653,74029.545355493,83.38574045499263,10000,2500
311,73945.836789653,74029.776855454,83.70857943499868,10000,2500
312,73945.836889653,74030.007627333,83.93997222799226,10000,2500
313,73945.836989653,74030.231732475,84.17064418600057,10000,2500
314,73945.83708965301,74030.491919961,84.39464863299509,10000,2500
315,73945.837189653,74030.711584029,84.65473618000397,10000,2500
316,73945.837289653,74030.941062761,84.87430753999797,10000,2500
317,73945.83738965301,74031.235469089,85.10367941099685,10000,2500
318,73945.837489653,74031.444743033,85.39798746700399,10000,2500
319,73945.837589653,74031.696083843,85.60715907199483,10000,2500
320,73945.83768965301,74031.924152572,85.85840783499589,10000,2500
321,73945.837789653,74032.135126459,86.0863753970043,10000,2500
322,73945.837889653,74032.447566807,86.2972505229991,10000,2500
323,73945.83798965301,74032.714015755,86.60958261399355,10000,2500
324,73945.838089653,74032.962335399,86.87594014299975,10000,2500
325,73945.838189653,74033.17331705,87.12415208699531,10000,2500
326,73945.83828965301,74033.416574997,87.33504035799706,10000,2500
327,73945.838389653,74033.672163436,87.57820384499792,10000,2500
328,73945.838489653,74033.918778811,87.83367941700271,10000,2500
329,73945.83858965301,74034.1734532,88.0801946829888,10000,2500
330,73945.838689653,74034.478768493,88.33477796700026,10000,2500
331,73945.838789653,74034.699639801,88.63998463698954,10000,2500
332,73945.83888965301,74034.968499273,88.86076281798887,10000,2500
333,73945.838989653,74035.220761398,89.12951518199407,10000,2500
334,73945.839089653,74035.50693644,89.38167778699426,10000,2500
335,73945.83918965301,74035.81953011,89.6677525319974,10000,2500
336,73945.839289653,74036.095462365,89.98025379900355,10000,2500
337,73945.839389653,74036.345809429,90.25607861699245,10000,2500
338,73945.83948965301,74036.611986018,90.50632579899684,10000,2500
339,73945.839589653,74036.836908142,90.77241036100895,10000,2500
340,73945.839689653,74037.153611282,90.99723187700147,10000,2500
341,73945.83978965301,74037.373804523,91.31383735498821,10000,2500
342,73945.839889653,74037.583292197,91.53392039399478,10000,2500
343,73945.839989653,74037.935218069,91.74331518600229,10000,2500
344,73945.84008965301,74038.305812284,92.09514055399632,10000,2500
345,73945.840189653,74038.692046966,92.46562813600758,10000,2500
346,73945.840289653,74038.932974565,92.85177109799406,10000,2500
347,73945.840389653,74039.150948383,93.0925905979966,10000,2500
348,73945.840489653,74039.352541767,93.31046445600805,10000,2500
349,73945.840589653,74039.617838859,93.51196723600151,10000,2500
350,73945.840689653,74039.901707043,93.77715498999169,10000,2500
351,73945.840789653,74040.283835832,94.06092985100986,10000,2500
352,73945.840889653,74040.48995128,94.44295911300287,10000,2500
353,73945.840989653,74040.698793633,94.64897346698854,10000,2500
354,73945.841089653,74040.997065404,94.85771014200873,10000,2500
355,73945.841189653,74041.208764087,95.1558821840008,10000,2500
356,73945.841289653,74041.569029712,95.3674875079887,10000,2500
357,73945.841389653,74041.823879252,95.72765384199738,10000,2500
358,73945.841489653,74042.034237711,95.98240258099395,10000,2500
359,73945.841589653,74042.293087748,96.19265357298718,10000,2500
360,73945.841689653,74042.50043351,96.45141209900612,10000,2500
361,73945.841789653,74042.837095026,96.65864944200439,10000,2500
362,73945.841889653,74043.041661269,96.9952114129992,10000,2500
363,73945.84198965301,74043.394362875,97.19967732598889,10000,2500
364,73945.842089653,74043.60070564,97.55227889500384,10000,2500
365,73945.842189653,74043.827268747,97.75852928200038,10000,2500
366,73945.84228965301,74044.035194987,97.98498451599153,10000,2500
367,73945.842389653,74044.294341177,98.19281873600266,10000,2500
368,73945.842489653,74044.50891215,98.45185755498824,10000,2500
369,73945.84258965301,74044.748426833,98.66632839899103,10000,2500
370,73945.842689653,74045.055066004,98.90574316200218,10000,2500
371,73945.842789653,74045.328726782,99.21228818099189,10000,2500
372,73945.84288965301,74045.537289493,99.4858533769875,10000,2500
373,73945.842989653,74045.883546566,99.69430517399451,10000,2500
374,73945.843089653,74046.096284117,100.04046288999962,10000,2500
375,73945.84318965301,74046.305606075,100.25310024998907,10000,2500
376,73945.843289653,74046.618564842,100.46232247099397,10000,2500
